lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
5,0,177.0,10,31,4,1,0,0,5,1
1,0,0.0,8,20,1,1,0,0,0,1
96,2,79.2,11,25,4,2,0,3,0,0
35,1,121.28,9,25,4,2,2,0,0,1
4,0,81.0,2,5,4,2,2,3,0,0
153,2,134.3,7,21,4,3,1,0,3,0
7,0,82.0,2,19,3,2,1,0,0,1
30,1,125.1,8,19,4,1,0,3,0,1
29,2,154.93,9,25,4,1,2,0,3,1
73,1,149.4,6,16,4,3,0,0,3,1
152,0,71.0,1,20,3,1,0,0,0,1
28,1,115.37,8,28,4,4,2,0,0,0
102,0,110.34,12,26,4,3,1,0,1,0
36,2,203.02,4,15,4,2,1,0,6,1
17,1,144.84,6,1,4,4,1,0,3,1
3,1,72.07,2,7,4,2,2,0,0,1
0,1,76.47,6,27,4,4,1,0,0,1
51,0,106.2,4,1,4,2,1,0,3,1
34,1,74.8,11,20,4,10,5,3,0,0
4,1,169.0,10,25,4,2,0,0,0,1
31,0,152.1,2,26,4,2,0,0,5,0
46,1,77.35,3,11,4,4,2,0,0,1
24,0,50.0,12,5,2,1,2,0,0,1
152,1,107.0,4,30,4,1,0,0,0,0
48,1,79.4,2,26,4,2,0,0,0,1
172,1,96.3,6,27,4,2,1,0,0,1
7,0,67.0,11,9,2,1,0,0,0,1
50,0,181.8,8,30,4,3,0,0,5,1
83,1,106.38,10,31,4,4,1,0,0,1
3,0,80.0,11,6,3,2,1,0,0,1
38,0,127.39,5,13,4,2,1,0,1,1
118,1,118.8,8,2,4,3,0,0,3,1
0,1,80.3,1,6,4,2,0,0,0,1
170,1,95.2,7,18,4,3,1,0,0,0
39,0,116.1,5,12,4,3,1,3,0,0
39,1,144.9,8,22,4,0,1,0,0,0
147,1,123.3,8,14,4,1,2,0,0,1
152,2,119.0,7,11,4,1,1,0,0,0
42,1,152.1,8,16,4,2,0,0,0,1
187,1,121.5,8,12,4,2,1,0,0,0
16,1,121.0,8,1,4,0,1,0,0,1
12,0,38.67,3,17,3,3,0,0,0,1
128,1,97.43,7,11,4,2,1,0,3,1
76,1,80.75,5,17,3,3,0,0,0,1
5,1,65.0,9,19,2,1,1,0,0,1
217,2,119.85,9,12,4,3,1,0,0,0
2,1,194.0,9,18,4,1,2,0,3,1
48,0,75.0,11,10,3,3,0,0,0,1
1,1,74.95,3,20,4,1,2,3,0,1
61,0,89.5,3,4,4,2,0,3,0,1
161,0,126.9,9,15,4,3,1,0,0,0
15,2,115.0,9,16,4,1,0,3,3,1
192,0,66.71,5,28,4,5,2,0,0,0
11,0,66.0,1,23,3,2,2,0,0,1
64,2,115.03,4,23,4,4,2,0,0,1
17,2,110.0,10,27,4,1,0,3,0,1
232,1,100.75,7,12,4,4,0,0,1,0
10,0,98.1,4,14,4,1,0,3,0,1
6,1,88.51,4,21,4,3,0,0,0,1
1,1,90.0,10,7,2,2,0,0,0,1
32,0,92.88,10,25,4,5,1,0,0,1
4,0,104.0,10,25,4,1,0,0,0,1
184,3,128.7,10,17,4,3,1,0,3,1
87,0,96.3,6,26,4,0,1,0,0,0
10,1,79.39,12,5,4,1,2,0,0,1
44,1,74.82,2,23,4,5,0,0,0,1
280,1,94.95,8,12,4,1,0,0,1,0
47,1,72.36,10,19,3,3,1,0,1,1
49,0,65.0,9,22,2,1,0,0,0,1
33,0,55.0,12,26,3,2,2,0,0,1
155,0,86.4,8,28,4,0,2,3,0,0
44,1,107.5,3,20,4,3,2,0,3,1
15,2,180.0,10,21,4,2,0,0,0,1
58,0,116.1,6,18,4,1,1,3,0,0
59,0,72.0,12,17,3,1,1,0,0,1
22,3,159.0,9,15,4,1,0,0,0,1
96,0,180.3,4,28,4,3,0,0,5,0
124,0,146.7,8,8,4,4,1,0,3,0
30,1,119.1,7,15,4,4,2,3,0,1
39,0,65.0,12,27,3,1,0,0,0,1
7,0,125.8,12,29,4,3,1,0,3,1
0,0,65.0,9,7,2,2,1,0,0,1
137,2,101.53,6,13,4,1,1,0,0,1
81,2,66.37,1,29,4,2,1,0,1,1
32,1,216.9,8,13,4,1,0,0,5,0
15,0,140.0,12,27,3,5,1,0,4,1
92,0,72.25,11,11,4,3,0,0,0,1
27,0,140.2,9,26,4,1,1,0,0,0
7,0,65.0,12,10,2,1,0,0,0,1
113,0,61.25,3,29,3,4,0,0,0,1
251,1,81.5,8,14,4,3,2,0,1,0
150,0,80.1,10,30,4,0,2,3,0,0
75,0,89.28,6,4,4,1,1,3,0,1
208,0,90.95,7,31,4,5,2,0,0,0
74,0,58.0,2,15,3,2,1,0,0,1
17,1,176.33,10,10,4,2,1,0,5,1
7,0,139.0,8,7,4,5,2,3,0,0
27,0,132.24,6,12,4,6,4,0,3,0
40,1,97.2,10,2,4,0,1,3,0,0
0,0,72.0,8,17,2,1,1,0,0,1
20,1,88.0,11,29,2,1,0,0,0,1
103,1,95.88,5,5,4,3,1,0,3,1
10,0,110.0,9,30,0,1,0,0,3,0
9,0,74.8,12,16,4,4,2,3,0,1
0,0,77.6,1,30,3,1,0,0,0,1
21,1,178.0,7,25,4,3,1,0,0,0
157,0,75.27,8,21,4,3,2,0,0,0
65,0,122.65,12,21,3,4,0,1,0,1
27,0,107.1,6,12,4,1,2,0,3,0
17,0,78.0,11,27,4,1,2,3,0,1
13,1,140.0,10,29,4,1,0,0,0,0
245,0,80.75,9,28,3,4,0,0,0,1
0,0,84.0,11,28,2,0,1,0,0,1
34,1,75.54,5,22,4,0,1,3,0,1
36,2,161.1,7,25,4,0,1,0,0,1
24,1,108.0,9,12,4,0,1,0,0,1
9,2,159.0,8,15,4,2,1,0,0,1
6,0,100.0,3,4,4,1,0,3,0,1
99,0,73.95,3,15,4,4,0,0,0,0
17,0,133.5,4,6,4,4,0,0,3,0
9,0,56.0,3,2,2,2,0,0,0,1
38,0,88.8,6,20,4,3,1,0,0,0
61,0,73.0,10,4,3,0,2,0,0,1
35,0,132.3,6,21,4,1,0,0,3,0
2,0,65.0,3,2,2,1,0,0,0,1
0,0,0.0,8,5,1,1,0,0,4,1
13,1,100.0,9,15,2,1,0,3,0,1
87,2,76.5,8,9,4,1,2,0,0,1
124,0,114.3,5,6,4,2,1,0,3,1
19,0,147.71,11,5,4,5,2,0,4,1
4,2,52.5,12,26,3,2,2,3,0,1
2,0,0.0,1,27,1,1,0,0,0,1
60,1,149.77,9,29,4,2,0,1,3,1
186,0,121.5,8,2,4,2,0,0,0,0
111,1,189.0,7,23,4,3,2,1,3,1
4,1,136.0,5,29,4,1,2,0,3,1
49,2,93.6,12,8,4,3,0,0,0,1
157,2,106.2,3,24,4,3,1,0,0,0
96,0,63.75,7,13,3,0,1,0,0,1
34,1,109.0,10,25,4,2,0,3,0,1
54,1,65.0,11,18,2,1,0,0,0,1
41,0,140.4,3,25,4,2,0,0,3,0
2,1,131.0,4,27,4,1,0,0,0,1
20,0,77.6,1,29,4,2,0,0,3,1
93,0,84.0,7,2,2,4,2,0,0,1
21,0,67.0,11,21,2,0,1,0,0,0
201,0,82.45,8,6,3,3,2,0,3,1
16,0,84.0,6,12,4,0,2,0,0,1
34,0,75.0,10,25,3,3,2,0,3,1
1,2,182.0,3,24,4,2,0,0,3,1
22,0,76.81,9,4,4,2,1,0,0,1
70,1,72.9,2,26,4,2,0,0,0,0
27,0,64.8,1,5,3,1,0,3,0,1
111,0,150.3,8,14,4,4,2,0,3,0
8,2,224.5,10,2,4,4,2,0,5,1
205,0,125.0,5,29,3,1,2,0,0,0
138,0,109.25,7,16,4,3,2,0,0,1
443,0,60.0,4,29,3,1,0,0,0,0
114,1,146.7,7,7,4,3,0,0,3,1
0,0,65.0,4,18,2,0,1,0,0,1
118,1,139.5,8,14,4,1,2,0,0,1
0,0,0.0,12,10,1,1,0,0,0,1
162,0,85.5,6,30,4,1,0,3,0,0
94,0,102.68,9,3,3,2,2,0,0,1
9,2,95.0,9,10,4,1,0,0,0,1
33,2,107.58,10,17,4,4,2,0,1,0
156,0,81.25,8,7,3,2,2,0,0,1
17,0,93.0,2,12,4,2,1,0,0,0
236,1,81.16,9,27,4,4,0,3,0,0
205,0,143.1,9,6,4,1,0,0,0,0
106,1,171.9,11,8,4,1,0,0,0,1
5,0,228.8,8,4,4,3,1,1,4,0
17,1,151.0,6,30,4,3,0,0,0,0
94,0,55.96,7,14,4,7,2,0,0,0
64,4,120.15,9,5,4,1,1,0,0,1
2,1,134.0,10,5,4,1,0,3,0,1
49,2,159.3,5,7,4,1,1,0,3,1
63,0,68.0,7,2,4,3,1,0,0,0
90,1,127.8,4,28,4,2,0,0,0,0
86,0,84.58,4,6,4,4,0,0,0,0
11,1,92.58,12,26,4,1,2,0,1,1
79,1,146.7,7,9,4,1,2,0,3,0
6,2,149.0,10,31,4,2,1,0,0,1
259,2,95.85,7,22,4,2,0,0,1,0
60,0,116.1,6,1,4,1,0,3,0,0
10,0,128.86,4,16,4,5,2,0,3,0
191,1,80.75,5,12,3,2,0,0,0,1
1,1,0.0,10,13,1,1,0,0,0,1
25,0,68.0,11,15,3,5,0,0,0,1
18,0,95.0,4,18,4,1,1,0,0,0
12,1,65.0,7,30,2,1,0,0,0,1
35,2,83.9,3,3,4,3,2,0,0,1
14,1,90.0,8,24,4,3,1,0,0,1
24,0,135.0,5,22,4,0,2,0,0,0
17,2,138.0,9,4,4,0,1,0,0,1
108,3,127.38,9,24,4,3,2,0,1,1
41,1,87.09,4,22,4,5,2,0,3,1
73,0,73.67,3,19,4,4,2,0,0,0
26,1,99.0,2,1,4,3,1,0,3,1
93,0,103.5,6,28,4,2,0,3,0,0
158,0,107.1,8,15,3,2,1,0,3,0
28,0,141.67,12,30,3,2,1,0,0,1
29,0,162.01,5,6,4,2,2,1,0,0
38,1,116.65,10,11,4,3,0,0,3,1
30,1,74.8,11,29,4,4,0,3,0,1
45,0,76.3,2,29,4,2,1,0,0,1
15,0,231.0,8,16,4,2,0,0,5,0
28,1,133.95,5,1,4,2,2,0,0,1
18,4,300.0,10,22,4,1,1,0,6,1
144,0,103.5,8,15,4,2,1,3,0,0
30,1,159.0,10,20,4,3,0,0,0,0
41,0,89.0,5,24,2,1,0,0,0,0
71,2,153.0,10,18,4,1,0,1,0,1
20,1,86.4,9,1,3,5,2,0,1,1
1,0,106.54,8,11,4,10,3,0,0,0
26,1,104.0,11,19,4,1,1,0,0,0
11,1,75.92,3,1,4,2,0,0,0,1
205,0,90.95,7,24,4,2,2,0,0,0
42,2,88.0,11,23,4,1,0,3,0,1
9,1,140.0,10,16,4,2,2,3,0,0
158,1,93.0,2,27,3,2,2,0,3,1
111,1,107.1,8,12,4,2,0,3,0,1
93,0,127.15,6,1,4,4,1,0,0,1
153,0,90.46,7,15,4,5,2,0,0,0
95,0,79.56,7,15,3,2,2,0,0,1
309,0,101.0,5,13,4,2,1,1,0,0
83,0,104.4,10,25,4,3,0,0,3,1
130,1,105.3,5,5,4,3,0,0,0,0
55,0,168.3,8,16,4,3,0,0,3,0
14,0,125.2,4,7,4,3,2,0,3,0
55,4,102.04,10,13,4,3,0,0,3,1
137,0,134.3,7,28,4,3,1,0,3,0
1,1,153.0,8,9,4,0,2,0,5,1
12,0,91.0,2,18,4,3,1,0,0,1
130,0,105.3,7,17,4,1,2,0,0,1
5,0,91.0,2,16,4,3,0,0,0,1
37,0,90.0,9,8,3,2,0,0,0,1
54,0,81.0,10,16,3,2,2,0,0,1
29,1,63.87,3,11,4,3,2,0,0,1
9,3,141.0,6,17,4,2,1,0,0,1
19,1,89.89,12,3,4,2,2,0,0,1
6,2,87.0,3,3,4,1,0,3,0,1
35,0,89.0,5,16,2,0,1,0,0,1
200,0,130.05,12,24,4,5,2,1,3,1
33,0,170.1,7,11,4,2,1,1,0,0
69,1,135.9,9,11,4,1,2,0,0,1
152,1,62.0,2,20,3,1,2,0,3,1
42,0,94.5,4,11,4,1,1,3,0,1
15,0,111.0,5,29,4,0,2,0,0,0
20,1,100.1,11,6,4,0,1,0,3,1
84,0,75.0,5,2,3,2,1,0,0,1
19,3,130.0,2,19,4,3,2,0,3,1
47,1,101.1,3,16,4,3,0,0,3,0
53,0,94.5,10,9,4,2,1,0,0,1
11,0,143.2,9,29,4,1,0,0,0,1
16,1,69.35,3,4,4,2,1,0,3,1
18,0,92.76,4,10,4,1,2,0,0,1
89,1,63.75,11,17,4,3,0,0,0,0
10,4,134.5,10,7,4,2,2,3,0,1
44,0,75.0,11,2,3,2,0,0,0,1
3,0,114.67,3,7,4,5,1,0,0,1
26,0,74.8,12,12,4,10,4,0,0,0
136,0,130.5,7,6,4,1,0,0,0,1
3,0,134.25,10,19,4,3,1,0,0,1
11,0,115.0,4,15,4,2,0,3,0,1
19,2,82.13,2,7,4,1,2,0,3,1
14,2,132.0,9,15,4,5,2,0,0,1
29,0,122.55,9,18,4,0,2,3,0,0
45,2,82.44,11,19,4,1,0,0,1,1
51,1,96.9,11,27,4,3,2,0,3,1
47,0,75.0,3,29,3,3,0,0,0,1
76,1,75.0,12,7,3,2,0,0,0,1
21,0,66.0,2,25,2,1,0,0,0,0
37,2,158.4,10,5,4,2,0,0,3,1
149,0,72.25,7,10,4,4,2,0,0,0
0,1,45.0,1,6,3,2,0,0,0,1
157,0,92.65,12,8,3,3,0,0,0,1
8,2,170.0,10,29,4,1,1,0,0,1
15,1,38.67,12,5,3,1,2,0,0,1
36,0,159.3,6,4,4,1,0,0,3,0
147,1,126.9,9,12,4,3,1,0,0,1
81,1,89.25,10,25,4,2,2,0,0,0
21,2,104.43,9,12,4,5,2,0,0,1
139,0,118.8,10,8,4,1,2,0,0,0
46,0,120.0,9,12,3,3,1,0,3,1
14,2,95.0,9,4,4,1,0,0,0,1
156,0,114.75,7,24,4,5,4,0,0,0
64,0,112.2,4,15,4,3,2,0,3,1
24,1,147.9,12,21,4,4,0,0,5,1
0,1,65.0,2,22,2,1,1,0,0,1
98,2,137.7,7,24,4,1,2,0,3,1
41,1,158.95,7,31,3,3,2,0,4,1
76,0,89.75,8,30,3,4,0,0,0,1
36,0,168.73,12,28,4,4,0,0,0,1
165,0,138.9,8,30,4,3,0,0,3,0
73,0,207.9,8,8,4,3,1,0,5,0
20,1,102.0,11,1,4,4,0,0,0,0
45,0,60.0,1,16,3,1,2,0,0,1
75,0,70.0,3,17,4,3,1,0,0,0
169,1,77.0,4,22,3,2,2,0,0,1
2,0,110.0,5,19,0,2,0,0,3,0
81,2,89.25,10,24,4,3,2,0,0,1
125,2,80.75,10,20,4,5,1,0,0,1
29,0,85.0,4,6,3,4,0,3,0,1
43,3,127.1,7,3,4,2,2,0,0,1
103,0,126.9,6,11,4,1,1,0,0,0
199,1,115.8,8,14,4,1,2,0,3,0
141,1,115.61,5,18,3,2,0,0,3,1
45,1,46.9,2,6,4,2,2,3,0,1
56,0,125.1,9,11,4,1,2,3,0,0
35,0,75.0,10,26,3,3,1,0,3,1
127,0,89.25,7,25,4,3,1,3,0,0
20,2,115.6,6,8,4,2,0,0,3,1
294,0,112.5,12,26,4,0,1,1,0,1
17,1,117.04,10,7,4,2,2,0,0,1
4,0,175.0,8,30,4,2,0,0,3,1
20,1,108.8,9,14,4,4,1,0,0,1
82,1,114.3,7,1,4,4,2,0,0,1
68,0,132.6,5,21,4,3,2,0,3,0
112,1,58.0,3,25,3,2,2,0,0,1
118,1,88.01,7,8,4,1,0,0,0,1
37,0,76.5,3,11,4,2,2,0,0,0
1,0,145.0,10,15,4,1,0,0,3,1
114,2,135.9,9,23,4,2,1,0,0,1
18,0,129.0,6,17,4,2,0,3,0,1
87,1,135.27,8,8,4,1,1,0,3,1
91,2,127.8,7,16,4,1,2,0,3,1
2,0,75.0,9,20,3,1,2,0,3,1
80,0,63.46,7,31,4,7,2,0,0,1
22,0,115.0,10,5,3,2,0,0,0,1
42,1,91.8,11,2,4,4,0,0,0,1
2,2,145.67,6,13,4,2,1,1,0,1
99,3,89.25,10,10,4,1,2,0,0,1
0,0,170.0,9,29,4,1,0,0,0,1
89,0,143.7,6,27,4,5,1,0,3,0
68,0,43.43,2,20,3,5,2,0,0,1
56,1,156.6,12,19,4,0,1,0,5,1
4,0,92.93,8,2,4,1,0,3,0,1
4,2,127.0,6,29,4,4,0,3,0,1
8,2,103.0,11,21,4,0,1,0,0,1
16,1,136.0,4,25,4,2,1,0,3,1
1,0,65.0,5,4,2,1,0,0,0,1
163,0,96.3,8,26,4,2,0,0,0,0
39,0,71.1,3,3,4,3,1,3,0,0
62,1,69.5,3,4,4,2,1,3,0,1
7,1,66.0,8,5,3,3,0,0,0,1
25,0,185.0,9,18,4,0,1,0,3,1
43,0,60.0,1,21,3,3,0,0,0,1
226,0,102.76,10,25,3,3,0,1,0,0
2,0,65.0,3,2,2,1,0,0,0,1
3,0,143.0,7,10,2,2,2,0,4,1
2,0,102.7,8,2,4,1,0,0,0,1
0,0,75.0,11,16,2,2,1,0,0,1
146,3,178.2,6,12,4,1,2,0,5,1
180,1,99.68,8,11,4,6,2,0,3,1
20,0,84.0,7,4,2,1,1,0,0,1
41,0,191.58,4,21,4,3,0,0,6,0
17,1,82.0,12,18,3,2,2,0,0,1
0,0,158.0,8,9,4,1,0,3,0,1
67,0,132.3,10,17,4,2,1,0,3,0
1,1,176.0,5,21,4,1,0,0,3,0
59,1,87.3,3,9,4,3,0,0,3,1
16,0,87.3,1,24,4,1,2,0,0,1
5,0,80.0,12,19,3,1,2,0,0,1
190,0,100.3,5,6,4,2,2,0,1,0
5,0,90.0,10,19,2,1,1,0,5,1
23,0,65.0,11,5,2,1,0,0,0,0
142,2,119.0,7,5,4,5,0,0,3,1
5,2,161.0,11,25,4,1,0,0,3,1
31,3,84.03,1,30,3,5,2,0,3,1
5,0,68.0,12,19,4,1,1,3,0,1
78,1,80.75,4,10,4,2,2,3,0,1
15,0,79.0,1,26,2,2,0,0,0,1
53,0,94.5,9,18,3,0,2,0,0,1
1,1,63.75,12,2,4,2,0,0,0,1
1,1,137.67,6,26,4,1,2,0,0,1
82,1,90.95,10,10,3,3,1,0,3,1
27,0,163.8,10,3,4,4,1,0,3,0
86,0,100.0,9,9,2,2,0,0,0,0
21,0,117.0,10,5,4,2,1,0,0,1
49,0,80.0,11,14,3,5,2,0,0,0
55,2,159.3,4,29,4,2,0,0,0,1
58,1,98.6,3,29,4,4,0,0,3,1
55,1,109.8,9,2,4,2,1,0,0,1
141,0,109.2,6,4,4,1,2,3,0,0
2,1,153.0,8,12,4,2,0,3,5,1
38,3,77.23,11,2,4,4,0,0,3,1
15,1,104.5,12,4,4,2,2,0,0,1
280,0,86.7,12,31,4,1,2,0,0,0
53,1,78.35,7,1,4,2,0,3,0,1
24,0,107.0,4,28,3,7,2,0,3,1
6,1,138.57,9,20,4,5,2,3,0,1
231,1,90.95,8,21,4,2,2,0,0,1
8,0,169.38,9,21,2,2,0,0,3,1
5,0,89.0,4,19,4,1,0,3,0,1
165,2,123.3,10,27,4,3,1,0,3,0
103,1,58.0,3,12,3,1,1,0,0,1
63,0,75.0,11,28,3,3,1,0,0,1
81,1,76.5,4,3,4,1,2,0,0,1
7,2,90.0,8,26,4,4,0,0,0,1
12,0,91.63,12,26,4,3,1,0,3,1
275,0,72.25,12,28,4,4,0,3,0,0
287,0,100.3,9,29,4,3,1,0,0,0
91,0,40.67,3,4,3,2,1,0,0,1
35,0,81.0,9,26,3,0,1,0,0,0
6,0,95.0,5,23,2,0,1,0,0,1
80,0,85.0,9,4,3,4,2,0,0,1
138,1,105.28,5,14,4,5,2,0,0,1
41,0,117.6,3,24,4,3,0,0,0,1
128,1,96.3,7,2,4,1,2,0,0,1
14,1,110.5,9,30,4,2,0,0,0,1
137,2,77.0,2,7,3,1,2,0,3,1
45,2,157.68,6,27,4,3,1,1,3,1
58,2,90.68,10,31,4,3,1,3,0,1
24,2,145.4,4,17,4,3,2,0,3,1
56,1,101.72,3,30,4,4,2,0,3,1
144,0,140.7,8,17,4,4,2,0,3,0
89,2,155.57,7,16,4,5,2,1,3,1
80,1,130.2,4,28,4,3,0,0,3,1
3,0,120.0,8,17,2,2,1,0,0,0
25,0,126.0,6,12,4,1,2,0,3,0
110,0,143.1,6,3,4,1,0,0,0,0
86,1,121.14,10,22,4,3,2,0,3,0
197,1,116.1,9,15,4,3,0,3,0,0
16,2,111.75,10,1,4,3,1,0,0,1
119,0,110.0,6,7,3,3,0,0,0,1
63,0,132.3,10,20,4,2,0,0,3,0
0,1,89.0,2,27,4,1,0,0,0,1
40,2,85.5,9,13,4,3,2,0,0,1
9,0,95.0,4,20,3,3,0,0,0,1
7,2,78.63,11,17,4,3,1,3,0,1
52,1,79.5,2,26,4,2,1,3,0,0
62,1,111.6,10,25,4,4,0,0,3,0
14,1,69.5,1,23,4,1,1,3,0,1
36,1,81.62,10,21,4,4,1,0,1,1
108,0,75.76,4,16,4,2,2,0,1,1
145,0,118.8,7,28,4,2,0,0,3,1
44,1,80.26,3,10,4,3,2,0,0,1
48,0,104.49,5,21,4,1,2,3,0,0
5,0,65.0,11,11,2,2,0,0,0,1
3,0,147.67,3,24,4,3,0,0,0,0
29,0,139.0,10,21,4,2,0,0,0,0
0,0,98.0,8,23,4,0,2,0,0,1
58,1,131.4,6,28,4,4,0,0,3,1
22,1,126.04,12,28,4,10,4,0,3,1
160,1,141.18,7,31,4,2,2,0,3,0
166,0,99.45,8,5,4,2,2,0,0,0
36,0,209.7,6,11,4,1,2,0,5,0
35,0,110.16,9,5,4,3,1,0,0,1
66,2,98.1,9,3,4,1,1,0,0,1
20,1,110.15,5,29,4,3,2,0,0,1
101,1,118.8,10,7,4,2,1,0,0,1
145,1,85.5,6,27,4,0,1,3,0,1
3,0,162.5,9,19,4,4,2,0,3,1
172,0,180.9,10,4,4,3,0,0,5,0
39,0,72.0,11,19,3,1,2,0,0,1
76,1,93.6,11,22,4,1,0,0,0,1
12,2,130.0,8,28,4,0,2,0,0,1
3,0,118.15,7,11,2,2,1,0,0,1
35,0,540.0,3,25,3,1,0,0,0,0
43,1,145.2,10,15,4,4,2,0,3,1
38,0,85.0,8,4,3,5,2,0,0,1
239,0,92.65,12,26,4,4,1,0,0,0
1,0,95.0,4,12,0,1,0,0,0,0
23,3,146.2,4,10,4,3,2,0,3,1
48,0,168.3,8,20,4,2,2,0,3,1
111,1,127.8,8,11,4,2,0,0,3,1
107,1,130.0,5,7,4,1,2,0,0,0
5,2,159.0,10,27,4,3,1,0,0,1
76,0,105.3,3,24,4,3,0,0,0,0
78,1,89.25,10,31,4,6,3,0,0,0
17,0,72.4,3,31,3,1,0,0,0,1
9,1,128.5,9,11,4,2,0,0,0,1
12,1,139.0,7,10,4,1,2,3,0,1
24,2,119.0,10,20,4,3,0,3,0,1
1,0,105.0,5,16,4,0,1,0,0,0
27,1,107.03,9,24,4,1,0,0,3,1
137,0,103.09,8,2,4,5,2,0,0,0
308,1,88.0,11,23,4,3,0,0,0,0
131,1,99.45,8,1,4,3,1,0,0,1
139,0,68.0,11,16,3,4,2,0,0,0
0,0,65.0,10,13,2,1,0,0,0,1
57,0,45.9,3,12,4,2,2,3,0,1
3,0,120.0,9,19,2,1,2,0,0,1
226,1,126.9,9,16,4,2,0,0,0,0
7,0,84.0,3,11,2,2,0,0,0,1
72,1,120.6,6,22,4,2,0,0,0,1
83,1,111.6,12,26,4,2,1,0,3,1
29,1,150.61,9,30,4,2,2,0,5,1
60,4,168.3,9,12,4,4,1,0,3,1
64,0,105.93,8,23,3,8,2,0,0,1
119,1,119.28,7,18,4,6,3,0,3,1
172,0,90.67,8,15,4,5,1,3,0,0
4,0,86.0,1,6,4,1,0,3,0,1
40,1,176.4,10,15,4,1,0,0,3,0
31,0,67.5,2,5,4,2,0,3,0,0
4,0,79.0,2,16,4,1,0,3,0,1
0,0,0.0,12,10,1,1,0,0,6,1
268,0,78.0,4,8,3,3,2,0,0,0
140,2,103.42,5,28,4,4,2,0,3,1
0,1,136.0,10,15,4,2,0,0,3,1
39,1,57.28,2,10,4,3,0,0,0,1
13,0,119.0,9,7,4,1,0,3,0,0
17,2,124.0,9,17,4,2,0,0,0,1
20,0,119.0,9,19,2,2,1,0,0,1
83,1,97.75,3,21,4,3,1,3,0,1
82,3,74.8,11,19,4,5,2,3,0,1
50,0,96.3,4,3,4,0,1,0,0,0
11,1,91.0,2,13,4,1,0,0,0,1
2,0,110.0,5,22,0,0,1,0,3,0
19,0,48.0,9,21,3,1,1,0,0,0
0,2,155.0,10,7,4,2,0,0,3,1
45,1,108.0,8,31,4,2,0,3,0,1
1,0,152.0,9,23,4,1,0,3,0,1
230,0,103.5,10,7,4,2,0,0,0,0
232,0,90.9,8,25,4,3,0,0,0,0
26,0,133.8,4,18,3,4,1,1,0,1
4,0,119.0,9,7,2,3,1,0,0,1
0,0,123.0,4,23,4,1,1,0,0,1
3,2,45.0,5,19,3,1,0,0,0,1
237,1,116.62,9,13,4,11,4,0,3,0
55,1,102.6,11,22,4,2,0,0,3,1
97,1,125.1,9,6,4,4,0,3,0,1
69,0,149.4,9,17,4,1,0,0,3,0
107,2,189.0,7,13,4,4,0,1,3,1
51,0,67.5,2,26,4,2,0,3,0,0
37,1,146.33,10,20,4,3,0,0,0,0
37,1,105.4,6,19,3,3,2,0,0,1
77,0,75.0,12,8,3,3,0,0,0,1
8,0,95.2,9,11,4,0,2,3,0,1
15,0,177.0,6,17,4,2,2,0,3,0
104,2,123.3,7,21,4,3,1,0,3,1
12,1,85.0,9,11,3,0,1,0,0,1
71,0,93.6,7,12,3,6,2,0,0,0
31,0,117.3,3,3,4,3,1,0,3,1
7,0,80.0,10,12,2,0,1,3,0,1
26,1,79.85,10,4,4,3,2,0,3,0
102,0,85.0,9,27,3,1,0,3,0,0
56,3,133.1,3,20,4,3,2,0,3,1
239,0,112.2,6,15,4,2,0,1,0,0
122,1,64.8,4,18,4,3,1,0,0,1
74,1,124.6,11,10,4,3,2,0,0,1
198,1,73.46,4,22,4,2,1,3,0,1
9,0,48.67,2,12,3,2,1,0,3,1
1,0,173.0,2,19,4,1,0,0,5,1
127,3,90.0,12,22,4,2,0,0,0,1
82,0,99.45,3,24,4,3,1,0,3,1
121,0,162.0,9,20,4,5,1,0,3,0
45,1,124.1,3,19,4,2,2,0,3,0
32,0,115.1,4,17,4,0,1,3,0,0
117,2,105.3,7,19,4,2,0,0,0,1
39,1,115.6,12,28,4,4,0,0,0,1
5,2,98.62,8,18,4,10,3,0,0,0
30,1,113.4,11,18,4,3,0,0,0,1
15,0,106.33,4,15,4,2,1,3,0,0
42,2,88.0,11,2,4,2,0,3,0,1
11,1,155.5,8,18,4,3,1,0,3,0
145,0,60.98,3,19,4,1,2,3,0,1
5,0,65.0,10,5,2,0,1,0,0,1
110,0,121.05,7,22,4,2,2,0,3,1
63,1,63.75,3,10,4,3,1,3,0,1
49,1,140.4,5,13,4,3,2,0,3,1
1,0,75.0,11,29,3,1,0,0,0,1
62,1,207.9,9,24,4,4,2,0,5,1
217,0,86.63,8,3,4,3,0,0,1,0
60,0,75.0,3,20,3,2,2,0,0,0
31,1,108.9,5,24,4,2,0,0,0,1
161,2,114.75,7,27,4,4,0,0,0,0
33,0,123.82,10,2,4,3,2,1,3,0
72,3,79.2,11,13,4,0,2,3,0,1
8,0,130.0,4,13,2,15,6,0,0,0
21,1,102.0,11,1,4,4,0,0,0,1
336,0,70.0,9,21,3,4,1,0,0,1
25,1,80.08,11,22,4,3,0,0,0,1
32,1,70.0,12,27,3,5,1,0,0,1
59,2,137.7,4,21,4,1,0,0,3,1
6,0,87.0,12,18,4,2,1,0,0,1
67,1,142.2,7,20,4,2,0,0,3,0
18,1,145.0,9,9,4,2,1,0,1,1
